index;x;y;z
418;-0.033447;-0.995438;-0.030991
419;-0.032135;-0.997421;-0.022568
420;-0.034317;-0.998718;-0.032166
421;-0.035385;-0.999771;-0.056229
422;-0.030792;-0.998764;-0.047791
423;-0.035187;-0.995850;-0.059448
424;-0.031784;-0.996857;-0.019394
425;-0.032288;-0.997818;-0.022263
426;-0.031097;-0.998413;-0.025665
427;-0.028793;-1.000229;-0.034348
428;-0.033203;-0.999023;-0.042847
429;-0.035965;-0.996933;-0.028961
430;-0.034225;-0.997406;-0.044083
431;-0.034286;-0.996170;-0.027451
432;-0.031876;-0.998917;-0.042267
433;-0.031738;-0.998566;-0.031387
434;-0.035110;-0.998322;-0.039062
435;-0.028961;-0.999908;-0.037964
436;-0.035873;-0.996384;-0.033676
437;-0.033234;-0.997833;-0.031357
438;-0.031754;-0.998505;-0.032928
439;-0.034470;-0.998413;-0.051483
440;-0.038132;-0.997253;-0.040497
441;-0.031708;-0.999863;-0.029251
442;-0.036530;-0.996948;-0.023651
443;-0.029236;-0.998718;-0.040314
444;-0.028885;-0.998596;-0.024506
445;-0.035645;-0.997528;-0.041519
446;-0.033447;-0.998993;-0.034760
447;-0.038086;-0.996918;-0.037430
448;-0.030945;-0.999023;-0.029617
449;-0.031937;-0.997696;-0.038589
450;-0.032272;-0.998947;-0.024628
451;-0.035355;-0.997833;-0.036850
